Pcode_Ad_4,Pcode_Ad_3,Pcode_Ad_2,Pcode_Ad_1,Type_Name,Objectid,Codec,Number,Admin1_Nam,Admin2_Nam,Admin3_Nam,Admin4_Nam,Lon_X,Lat_Y
MLI00100101001,MLI00100101,MLI001001,MLI001,Village,1,11001001,1,KAYES,KAYES,BANGASSI,Bambela,-11.573710,14.631105
MLI00100101002,MLI00100101,MLI001001,MLI001,Village,2,11001072,2,KAYES,KAYES,BANGASSI,Bangassi-doudou,-11.488281,14.538516
MLI00100101003,MLI00100101,MLI001001,MLI001,Village,3,11001143,3,KAYES,KAYES,BANGASSI,Bangassi-doudou-maure,-11.488111,14.545387
MLI00100101004,MLI00100101,MLI001001,MLI001,Village,4,11001214,4,KAYES,KAYES,BANGASSI,Bangassi-gopela,-11.508051,14.483951
MLI00100101005,MLI00100101,MLI001001,MLI001,Village,5,11001285,5,KAYES,KAYES,BANGASSI,Bangassi-liberte,-11.508801,14.490311
MLI00100101006,MLI00100101,MLI001001,MLI001,Village,6,11001356,6,KAYES,KAYES,BANGASSI,Bangassi Maure,-11.472672,14.557038
MLI00100101007,MLI00100101,MLI001001,MLI001,Village,7,11001427,7,KAYES,KAYES,BANGASSI,Bangassi-nango,-11.507441,14.491871
MLI00100101008,MLI00100101,MLI001001,MLI001,Village,8,11001498,8,KAYES,KAYES,BANGASSI,Diakalel,-11.457542,14.459428
MLI00100101009,MLI00100101,MLI001001,MLI001,Village,9,11001569,9,KAYES,KAYES,BANGASSI,Djiguidian-gopela,-11.482631,14.472250
MLI00100101010,MLI00100101,MLI001001,MLI001,Village,10,11001640,10,KAYES,KAYES,BANGASSI,Djiguidian-peulhs,-11.480921,14.476530
MLI00100101011,MLI00100101,MLI001001,MLI001,Village,11,11001711,11,KAYES,KAYES,BANGASSI,Guemou,-11.583259,14.610663
MLI00100101012,MLI00100101,MLI001001,MLI001,Village,12,11001782,12,KAYES,KAYES,BANGASSI,Madinel,-11.526110,14.485481
MLI00100101013,MLI00100101,MLI001001,MLI001,Village,13,11001853,13,KAYES,KAYES,BANGASSI,Segue-maure,-11.404613,14.502463
MLI00100101014,MLI00100101,MLI001001,MLI001,Village,14,11001924,14,KAYES,KAYES,BANGASSI,Sinthiane,-11.461972,14.491621
MLI00100101000,MLI00100101,MLI001001,MLI001,Chef-lieu Commune,957,,15,KAYES,KAYES,BANGASSI,Bangassi,-11.487500,14.540556
MLI00100102001,MLI00100102,MLI001001,MLI001,Village,15,11004001,16,KAYES,KAYES,COLOMBINE,Diabougou,-11.281846,14.437207
MLI00100102002,MLI00100102,MLI001001,MLI001,Village,16,11004112,17,KAYES,KAYES,COLOMBINE,Dialane,-11.172598,14.532866
MLI00100102003,MLI00100102,MLI001001,MLI001,Village,17,11004223,18,KAYES,KAYES,COLOMBINE,Gamera,-11.101790,14.467960
MLI00100102004,MLI00100102,MLI001001,MLI001,Village,18,11004334,19,KAYES,KAYES,COLOMBINE,Kabate,-11.211147,14.508933
MLI00100102005,MLI00100102,MLI001001,MLI001,Village,19,11004445,20,KAYES,KAYES,COLOMBINE,Kanamakounou,-11.197018,14.445337
MLI00100102006,MLI00100102,MLI001001,MLI001,Village,20,11004445,21,KAYES,KAYES,COLOMBINE,Segouroume,-11.199717,14.413464
MLI00100102007,MLI00100102,MLI001001,MLI001,Village,21,11004556,22,KAYES,KAYES,COLOMBINE,Kouroukoula,-11.224527,14.460639
MLI00100102008,MLI00100102,MLI001001,MLI001,Village,22,11004667,23,KAYES,KAYES,COLOMBINE,Tafacirga,-11.120149,14.481991
MLI00100102009,MLI00100102,MLI001001,MLI001,Village,23,11004667,24,KAYES,KAYES,COLOMBINE,Dioumou,-11.123879,14.418825
MLI00100102010,MLI00100102,MLI001001,MLI001,Village,24,11004778,25,KAYES,KAYES,COLOMBINE,Takoutalla,-11.255496,14.450058
MLI00100102011,MLI00100102,MLI001001,MLI001,Village,25,11004889,26,KAYES,KAYES,COLOMBINE,Wahiguilou,-11.292066,14.459699
MLI00100102000,MLI00100102,MLI001001,MLI001,Chef-lieu Commune,75,,27,KAYES,KAYES,COLOMBINE,Kabate,-11.211147,14.508933
MLI00100103001,MLI00100103,MLI001001,MLI001,Village,26,11007001,28,KAYES,KAYES,DIAMOU,Bagouko,-11.214037,13.987514
MLI00100103002,MLI00100103,MLI001001,MLI001,Village,27,11007040,29,KAYES,KAYES,DIAMOU,Balandougou,-11.243546,14.124787
MLI00100103003,MLI00100103,MLI001001,MLI001,Village,28,11007079,30,KAYES,KAYES,DIAMOU,Bangassi,-11.229957,14.197224
MLI00100103004,MLI00100103,MLI001001,MLI001,Village,29,11007118,31,KAYES,KAYES,DIAMOU,Bouroukoun,-11.223846,14.029558
MLI00100103005,MLI00100103,MLI001001,MLI001,Village,30,11007157,32,KAYES,KAYES,DIAMOU,Diadieya,-11.056030,14.251119
MLI00100103006,MLI00100103,MLI001001,MLI001,Village,31,11007196,33,KAYES,KAYES,DIAMOU,Diamou,-11.261326,14.085763
MLI00100103007,MLI00100103,MLI001001,MLI001,Village,32,11007196,34,KAYES,KAYES,DIAMOU,Tounremoussoya,-11.250946,14.065291
MLI00100103008,MLI00100103,MLI001001,MLI001,Village,33,11007235,35,KAYES,KAYES,DIAMOU,Dinguira-almamya,-11.239486,14.170661
MLI00100103009,MLI00100103,MLI001001,MLI001,Village,34,11007274,36,KAYES,KAYES,DIAMOU,Douroun,-11.122159,14.075952
MLI00100103010,MLI00100103,MLI001001,MLI001,Village,35,11007313,37,KAYES,KAYES,DIAMOU,Drameko,-11.041270,14.114776
MLI00100103011,MLI00100103,MLI001001,MLI001,Village,36,11007352,38,KAYES,KAYES,DIAMOU,Fanga,-11.227637,14.213195
MLI00100103012,MLI00100103,MLI001001,MLI001,Village,37,11007391,39,KAYES,KAYES,DIAMOU,Foukara Rive Gauche,-11.074390,13.960561
MLI00100103013,MLI00100103,MLI001001,MLI001,Village,38,11007391,40,KAYES,KAYES,DIAMOU,Tambafara,-11.113339,13.931919
MLI00100103014,MLI00100103,MLI001001,MLI001,Village,39,11007430,41,KAYES,KAYES,DIAMOU,Foukara-ile,-11.070720,13.957681
MLI00100103015,MLI00100103,MLI001001,MLI001,Village,40,11007430,42,KAYES,KAYES,DIAMOU,Banganora,-11.121899,14.019027
MLI00100103016,MLI00100103,MLI001001,MLI001,Village,41,11007430,43,KAYES,KAYES,DIAMOU,Dougou,-11.070130,13.977093
MLI00100103017,MLI00100103,MLI001001,MLI001,Village,42,11007469,44,KAYES,KAYES,DIAMOU,Galougo,-11.055080,13.840410
MLI00100103018,MLI00100103,MLI001001,MLI001,Village,43,11007508,45,KAYES,KAYES,DIAMOU,Hamaya,-11.242116,14.056690
MLI00100103019,MLI00100103,MLI001001,MLI001,Village,44,11007547,46,KAYES,KAYES,DIAMOU,Illimalo,-11.058560,14.173892
MLI00100103020,MLI00100103,MLI001001,MLI001,Village,45,11007547,47,KAYES,KAYES,DIAMOU,Soukoutali,-11.046750,14.166071
MLI00100103021,MLI00100103,MLI001001,MLI001,Village,46,11007586,48,KAYES,KAYES,DIAMOU,Karaya,-11.234776,14.227547
MLI00100103022,MLI00100103,MLI001001,MLI001,Village,47,11007625,49,KAYES,KAYES,DIAMOU,Logoba,-11.228507,14.077292
MLI00100103023,MLI00100103,MLI001001,MLI001,Village,48,11007664,50,KAYES,KAYES,DIAMOU,Makadenia,-11.232956,14.100495
MLI00100103024,MLI00100103,MLI001001,MLI001,Village,49,11007703,51,KAYES,KAYES,DIAMOU,Makania,-11.153058,14.075712
MLI00100103025,MLI00100103,MLI001001,MLI001,Village,50,11007742,52,KAYES,KAYES,DIAMOU,Moulintako,-11.049970,14.199864
MLI00100103026,MLI00100103,MLI001001,MLI001,Village,51,11007781,53,KAYES,KAYES,DIAMOU,Saboucire Lakafia,-11.055030,14.195804
MLI00100103027,MLI00100103,MLI001001,MLI001,Village,52,11007820,54,KAYES,KAYES,DIAMOU,Takoutala,-11.210067,14.061931
MLI00100103028,MLI00100103,MLI001001,MLI001,Village,53,11007859,55,KAYES,KAYES,DIAMOU,Thematessou,-11.228896,14.055730
MLI00100103029,MLI00100103,MLI001001,MLI001,Village,54,11007898,56,KAYES,KAYES,DIAMOU,Tinkin,-11.287145,14.020977
